SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP,LATITUDE,LONGITUDE
이화미용실,서울특별시 강남구 대치동 316 은마아파트 ,02  555 5083,일반미용업,37.4974180026259,127.065327020175
드 김현서헤어,서울특별시 강남구 대치동 66번지 ,02  555 5114,일반미용업,37.4980831440783,127.071219190993
헤드마스터,서울특별시 강남구 대치동 936-3 ,02  555 7892,일반미용업,37.4975437445053,127.052989231694
오자허브,서울특별시 강남구 대치동 316 은마아파트 ,02  556 1772,일반미용업,37.4974180026259,127.065327020175
에코쟈뎅 대치테라스점,서울특별시 강남구 대치동 507 윈플러스상가 ,02  556 5326,일반미용업,37.4933577446877,127.06190904547
온 헤어,서울특별시 강남구 삼성동 122 ,02  556 8817,일반미용업,37.5109059403404,127.051734150676
반에스,서울특별시 강남구 논현동 2-12 ,02  556 9787,일반미용업,37.5160003072712,127.021511635728
쎄미헤어,서울특별시 강남구 대치동 63-0번지 우성아파트단지상가 108호 ,02  557 5686,일반미용업,37.5002337297672,127.069139134413
셀비오,서울특별시 송파구 삼전동 28-11 에스엔씨빌딩 ,02  5576334,일반미용업,37.5034202431043,127.087586017301
영웅,서울특별시 강남구 대치동 959-1 ,02  558 0401,일반미용업,37.5046684822867,127.058091080451
색갈은짙은갈색,서울특별시 광진구 자양동 859번지 2층 204A호,02  558 3379,일반미용업,37.537711863986,127.081548897452
온새미로 by 수빈,서울특별시 중랑구 면목동 177-13 정아트빌 ,02  558 6797,일반미용업,37.5877229769548,127.078005679618
애런스로렌콤 그랜드인터컨티넨탈호텔점,서울특별시 강남구 삼성동 159-8 파르나스타워 ,02  559 7555,일반미용업,37.5125211887102,127.058819250731
르미르헤어,서울특별시 송파구 문정동 10-18 ,02  560 4977,일반미용업,37.4898250724797,127.127623972306
민헤어샵,서울특별시 강남구 대치동 316번지 ,02  561 9564,일반미용업,37.4974180026259,127.065327020175
데일리 헤어,서울특별시 강남구 대치동 991-4 태안빌딩 ,02  565 8788,일반미용업,37.4995128019312,127.063751255359
오아임(OIM),서울특별시 강남구 대치동 956-24 ,02  566 0424,일반미용업,37.5056473209544,127.059921653442
미씨엘로 헤어,서울특별시 송파구 문정동 643-1번지 ,02  566 8973,일반미용업,37.4858221249142,127.120631584468
이철헤어커커 선릉역점,서울특별시 강남구 역삼동 707-12 ,02  568 2326,일반미용업,37.5024189302843,127.044888187758
앤즈헤어,서울특별시 강남구 도곡동 168번지 ,02  570 9790,일반미용업,37.4884719849921,127.048732664169
리파이너리 도곡점,서울특별시 강남구 도곡동 464번지 ,02  572 0711,일반미용업,37.4868899273565,127.048897057659
나이스가이,서울특별시 서초구 우면동 67 한라상가 106호,02  573 4339,일반미용업,37.4715308560823,127.025890636987
선화,서울특별시 서초구 양재동 11-85 1층 ,02  574 7007,일반미용업,37.4839739214796,127.037798800614
라떼르헤어 우면점,서울특별시 서초구 우면동 686 삼성프라자-1 204호,02  575 1231,일반미용업,37.4653739980978,127.021275794783
은교 미용실,서울특별시 강남구 도곡동 902-2 ,02  575 9418,일반미용업,37.4864263541376,127.03814738462
벨꾸르 헤어,서울특별시 서초구 양재동 255-6번지 102호,02  5750922,일반미용업,37.4735748227152,127.042843723149
쎄븐헤어월드,서울특별시 서초구 우면동 2-4 2층 ,02  5769774,일반미용업,37.4695438938705,127.024882053868
피렌체 헤어샵,서울특별시 강남구 개포동 1218-24번지 ,02  578 5365,일반미용업,37.4777742967652,127.048545052934
제오헤어 압구정,서울특별시 강남구 신사동 661-13번지 지상1층 ,02  578 9338,일반미용업,37.5274919853346,127.039019824616
